ID,H_conc,HCP_conc,FCC_conc,F_111,F_110,F_100,Sphericity,CC_coord,sp1,sp2,sp2x,sp3,dCC,dCCe,aCCC,aCCCe,D_nm,x,y,label,minR,IDclosestLabel,integerID,order,ILS1,ILSorder,ILS2,clusterID
182,0.0,0.0,0.5009650767201278,0.12,0.76,0.12,0.001839254955770354,0.653846153846154,0.0,0.15179745099159855,0.44553360634589306,0.640191,0.7090909090909091,0.19855595667870035,0.2551789077212799,0.4128089580772907,0.3889872953823601,0.758574,0.24163955,0,0.1330958938770562,241.0,182.0,347.0,2,64.0,2,7
183,0.5289772437905906,0.0,0.6816774283135458,0.12,0.76,0.12,0.001839254955770354,1.0,0.0,0.0,0.0,1.0,0.8727272727272727,0.05054151624548737,0.1450094161958574,0.2031954117165096,0.4500671878817493,0.17578405,0.09685118,0,0.12706943785274505,242.0,183.0,170.0,1,31.0,5,5
184,0.62614008011284,0.0,0.6816774283135458,0.12,0.76,0.12,0.001839254955770354,1.0,0.0,0.0,0.0,1.0,0.900000000000001,0.04332129963898917,0.16949152542372847,0.07278437798716371,0.4500671878817493,0.15886885,0.09791937,0,0.12836441802876436,243.0,184.0,173.0,1,34.0,5,5
185,0.0,0.0,0.4986461153926266,0.12,0.76,0.12,0.001839254955770354,0.5673076923076922,0.01632034632034632,0.08794627183902079,0.5265779860829553,0.6493869999999999,0.7272727272727273,0.16245487364620936,0.21845574387947195,0.4339751467977605,0.3924688492548253,0.7625894,0.24601683,0,0.14809778467830853,182.0,185.0,348.0,2,65.0,2,7
186,0.5277416726267844,0.0,0.6714017912934808,0.12,0.76,0.12,0.001839254955770354,1.0,0.0,0.0,0.0,1.0,0.8818181818181828,0.07220216606498195,0.14877589453860618,0.2257271609995903,0.4535487417542146,0.17671266,0.097357534,0,0.03453883369774369,183.0,186.0,171.0,1,32.0,5,5
187,0.6364763636122078,0.0,0.6714017912934808,0.12,0.76,0.12,0.001839254955770354,1.0,0.0,0.0,0.0,1.0,0.9090909090909092,0.04332129963898917,0.16949152542372847,0.07278437798716371,0.4535487417542146,0.15839034,0.098772824,0,0.017526931226402663,184.0,187.0,174.0,1,35.0,5,5
188,0.0,0.0,0.36435464833715203,0.45,0.24,0.31,0.007327825299973759,0.5384615384615385,0.0,0.2910598085036152,0.4556154131174063,0.515596,0.5636363636363636,0.18050541516245489,0.3662900188323916,0.3909599890755155,0.39869899828976296,0.8322008,0.4514456,0,0.11897268373960825,244.0,188.0,267.0,2,322.0,3,8
189,0.512190747387697,0.0,0.6751926681941263,0.45,0.24,0.31,0.007327825299973759,1.0,0.0,0.0,0.0,1.0,0.8636363636363626,0.04693140794223827,0.15913370998116733,0.15471801174382085,0.4597788907891522,0.23503520000000006,0.60725635,1,,,,,1,181.0,3,3
190,0.5679198783028834,0.0,0.6751926681941263,0.45,0.24,0.31,0.007327825299973759,1.0,0.0,0.0,0.0,1.0,0.8636363636363626,0.028880866425992774,0.17043314500941634,0.0482042878601666,0.4597788907891522,0.24659073,0.6139109,0,0.026908395339380203,195.0,190.0,3.0,1,178.0,3,3
191,0.0,0.0,0.4477261681594112,0.11,0.0,0.89,0.04443406416956182,0.6730769230769232,0.0,0.0296622278104818,0.606116981549343,0.662125,0.7545454545454555,0.1335740072202166,0.17796610169491522,0.4599207974873686,0.4010200342047398,0.7144495,0.4848835999999999,0,0.1268018116218934,239.0,191.0,289.0,2,359.0,3,8
192,0.7213720597059872,0.0,0.7277233909602168,0.11,0.0,0.89,0.04443406416956182,1.0,0.0,0.0,0.0,1.0,0.990909090909092,0.07220216606498195,0.16572504708097968,0.10282671036460468,0.462099926704129,0.02987599,0.5200933,0,0.08892332089681783,240.0,192.0,74.0,1,247.0,3,3
193,0.0,0.0,0.35459279316808995,0.45,0.24,0.31,0.007327825299973759,0.5192307692307693,0.046380952380952384,0.30617493611149665,0.4156994508063312,0.5125,0.5545454545454556,0.17328519855595664,0.3700564971751417,0.3684282397924348,0.4050207671634498,0.834119,0.4527889,0,0.07172344382161734,188.0,193.0,268.0,2,323.0,3,8
194,0.5431265264728872,0.0,0.6570992154412276,0.45,0.24,0.31,0.007327825299973759,1.0,0.0,0.0,0.0,1.0,0.8545454545454545,0.02527075812274368,0.16760828625235408,0.07961218080021848,0.4661006596628389,0.24169853,0.6097541,0,0.0871142519064891,189.0,194.0,1.0,1,180.0,3,3
195,0.5565318093146122,0.0,0.6570992154412276,0.45,0.24,0.31,0.007327825299973759,1.0,0.0,0.0,0.0,1.0,0.8545454545454545,0.021660649819494587,0.17137476459510287,0.038645363921889934,0.4661006596628389,0.24811603,0.6137892,0,0.04341890065717691,194.0,195.0,2.0,1,179.0,3,3
196,0.0,0.0,0.5403596472957023,0.34,0.19,0.47,0.01030566665693519,0.6249999999999999,0.11564502164502165,0.14748534151043968,0.383494703026094,0.638468,0.6818181818181808,0.16967509025270758,0.2608286252354044,0.3540898538850198,0.4056621060346934,0.7858321,0.4706474,0,0.2375380205433283,295.0,196.0,255.0,2,330.0,3,8
197,0.5420304552791881,0.0,0.6640005554398389,0.34,0.19,0.47,0.01030566665693519,1.0,0.0,0.0,0.0,1.0,0.8727272727272727,0.04332129963898917,0.1600753295668552,0.15608357230643174,0.4667419985340825,0.20705844,0.5855564,0,0.20339973666827474,189.0,197.0,33.0,1,206.0,3,3
198,0.5943230155022109,0.0,0.6640005554398389,0.34,0.19,0.47,0.01030566665693519,1.0,0.0,0.0,0.0,1.0,0.8818181818181828,0.03610108303249097,0.17043314500941634,0.058445992079748724,0.4667419985340825,0.21105574,0.586596,0,0.05774463028893422,225.0,198.0,35.0,1,208.0,3,3
199,0.0,0.0,0.5360549885440533,0.24,0.76,0.0,0.017020406971652118,0.5096153846153848,0.09177922077922078,0.2926250914150881,0.4181476401743607,0.512367,0.5545454545454556,0.17689530685920574,0.3738229755178905,0.3458964905093541,0.4075250427559248,0.78430915,0.25595582,0,0.20134357580272136,316.0,199.0,381.0,2,118.0,2,7
200,0.5521032388350203,0.0,0.6587238769700757,0.24,0.76,0.0,0.017020406971652118,1.0,0.0,0.0,0.0,1.0,0.8545454545454545,0.018050541516245487,0.17137476459510287,0.02976922026491875,0.4686049352553139,0.13006255,0.080307886,0,0.04207938665843694,223.0,200.0,213.0,1,49.0,5,5
