ID,shape,numAg,massDensity,volAtom,coordinateNumber,lengthBond,errBond,numBond,angle,errAngle,numAngle,nSurfaceAtoms,diameter,aspectRatio,popFCC,popHCP,popICOS,SCN3,SCN4,SCN5,SCN6,SCN7,SCN8,SCN9,SCN10,SCN11,Efermi,IP,EA,Eg,popSurface,coordNumberNormalised,amorph
Ag418-TR,TR,418,8.902000000000001,20.122,9.76,2.9389999999999996,0.142,0.12461797542568452,96.48,35.65,19164,152,0.4643301529478259,0.0882495308415919,0.526315789,0.0,0.0,0.0,0.0,0.0,0.15789473699999998,0.7894736840000001,0.0,0.052631579000000005,0.0,0.0,-3.6407,4.2196,3.062,1.1576,0.36363636363636365,0.8133333333333334,0.473684211
Ag423-RD,RD,423,9.05,19.792,9.7,2.938,0.142,0.1253664317345475,96.54,35.67,19254,150,0.46837351946758576,0.07260275991750838,0.516483516,0.0,0.0,0.0,0.0,0.0,0.32,0.64,0.04,0.0,0.0,0.0,-3.6573,4.2286,3.0861,1.1425,0.3546099290780142,0.8083333333333332,0.483516484
Ag424-RO,RO,424,6.52,27.471999999999998,9.76,2.94,0.142,0.12648911619784195,96.39,35.65,19440,158,0.46860606789706055,0.16390581786473626,0.526315789,0.0,0.0,0.0,0.0,0.037974684,0.151898734,0.759493671,0.0,0.050632910999999996,0.0,0.0,-3.6097,4.1807,3.0392,1.1415,0.37264150943396224,0.8133333333333334,0.473684211
Ag428-DH,DH,428,3.93,45.583,9.85,2.95,0.13699999999999998,0.12879685648350278,95.85,35.17,19611,247,0.4714946647949533,0.46958649535378894,0.11049723800000001,0.220994475,0.0,0.0,0.0,0.020242915,0.008097166,0.12145749,0.24291498,0.20242915,0.4048583,0.0,-3.7355,4.2916,3.1797,1.1119,0.5771028037383178,0.8208333333333333,0.668508287
Ag434-DH,DH,434,8.919,20.083,10.04,2.952,0.09699999999999999,0.1332252229776087,96.12,35.22,20627,217,0.46006064989936596,0.12244215959082885,0.5069124420000001,0.34562212,0.0,0.0,0.0,0.0,0.00921659,0.322580645,0.161290323,0.460829493,0.046082949000000005,0.0,-3.8306,4.4079,3.2539,1.1540000000000001,0.5,0.8366666666666666,0.147465438
Ag437-TH,TH,437,6.975,25.682,9.67,2.943,0.135,0.12910871327886234,96.23,35.45,19842,188,0.46810288672077244,0.11781502481323597,0.759036145,0.0,0.0,0.042553191,0.0,0.127659574,0.25531914899999997,0.063829787,0.25531914899999997,0.25531914899999997,0.0,0.0,-3.8177,4.3862,3.2486,1.1376,0.4302059496567506,0.8058333333333333,0.24096385499999995
Ag43-RO,RO,43,16.910999999999998,10.592,7.26,2.806,0.203,0.0071103349341982165,92.77,34.02,1134,30,0.1903513945877331,0.04414874627779546,0.076923077,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,-3.53,4.7528,2.3175,2.4353,0.6976744186046512,0.605,0.923076923
Ag442-mHH,TC,442,8.671,20.658,9.67,2.9419999999999997,0.141,0.13060562589658828,96.31,35.43,20088,191,0.4686199889233657,0.09759446947678982,0.6852589640000001,0.0,0.0,0.0,0.0,0.25130890100000003,0.25130890100000003,0.0,0.157068063,0.340314136,0.0,0.0,-3.7965,4.5016,3.2281,1.2735,0.4321266968325792,0.8058333333333333,0.3147410359999999
Ag443-TH,TH,443,6.994,25.61,9.64,2.9419999999999997,0.13699999999999998,0.13060562589658828,96.29,35.43,20070,194,0.4700546852747035,0.11930548971639486,0.7349397590000001,0.0,0.0,0.041237113,0.0,0.154639175,0.24742268,0.06185567,0.12371134,0.37113402100000004,0.0,0.0,-3.7891,4.3527,3.2254,1.1273,0.43792325056433407,0.8033333333333333,0.2650602409999999
Ag455-T,T,455,2.113,84.771,9.6,2.9360000000000004,0.11800000000000001,0.13359945113204016,96.15,36.06,19812,290,0.4999204896684084,0.9741683686054413,0.721212121,0.0,0.0,0.013793103000000001,0.0,0.0,0.04137931,0.18620689699999998,0.0,0.75862069,0.0,0.0,-3.7443,4.2536,3.2353,1.0183,0.6373626373626373,0.7999999999999999,0.278787879
Ag456-TZ,TZ,456,6.792999999999999,26.368000000000002,9.82,2.946,0.136,0.13696750452192352,96.33,35.52,21131,183,0.47487907102456783,0.15490795771993782,0.5787545789999999,0.0,0.0,0.0,0.0,0.043715847,0.14207650300000002,0.278688525,0.344262295,0.19125683100000002,0.0,0.0,-3.725,4.2875,3.1629,1.1246,0.40131578947368424,0.8183333333333334,0.42124542100000006
Ag459-SRC,SRC,459,9.786,18.304000000000002,9.83,2.946,0.11900000000000001,0.138090188985218,96.54,35.75,21318,186,0.4749538699184763,0.057447946043475244,0.604395604,0.0,0.0,0.0,0.0,0.0,0.258064516,0.193548387,0.290322581,0.258064516,0.0,0.0,-3.7973,4.3596,3.2348,1.1248,0.40522875816993464,0.8191666666666667,0.39560439599999997
Ag460-DH,DH,460,8.562000000000001,20.92,10.06,2.952,0.10400000000000001,0.14170772781138902,96.13,35.12,22038,222,0.4690672625804046,0.11144743189974222,0.588235294,0.33613445399999997,0.0,0.0,0.0,0.0,0.009009009,0.36036036,0.27027027,0.27027027,0.09009009,0.0,-3.9407,4.5078,3.3733,1.1345,0.4826086956521739,0.8383333333333334,0.07563025200000006
Ag483-tOH,OH,483,6.847,26.16,10.04,2.951,0.098,0.14856857730929957,96.42,35.92,22914,252,0.47945063577239977,0.20990545312163858,0.87012987,0.0,0.0,0.0,0.0,0.0,0.0,0.23809523800000001,0.095238095,0.666666667,0.0,0.0,-3.8711,4.4199,3.3228,1.0971,0.5217391304347826,0.8366666666666666,0.12987013000000003
Ag484-DH,DH,484,8.084,22.156999999999996,10.1,2.9539999999999997,0.1,0.14975363313166593,96.18,35.24,23272,237,0.48095947468779016,0.1686803850954328,0.607287449,0.32388664,0.0,0.0,0.0,0.0,0.008438819,0.29535865,0.232067511,0.421940928,0.042194092999999995,0.0,-3.9043,4.4581,3.3507,1.1074,0.4896694214876033,0.8416666666666667,0.06882591100000002
Ag485-DH,DH,485,8.588,20.858,10.24,2.965,0.139,0.15231085885361442,95.87,34.66,23818,227,0.4791996033101432,0.09557480022401632,0.15503876,0.387596899,0.0,0.0,0.0,0.0,0.05286343599999999,0.0,0.352422907,0.528634361,0.066079295,0.0,-4.0174,4.5755,3.4593,1.1162,0.46804123711340206,0.8533333333333334,0.457364341
Ag489-OH,OH,489,5.212999999999999,34.359,10.04,2.952,0.1,0.150439718081457,96.36,35.93,23190,258,0.4832269310759361,0.2887291132332834,0.7662337659999999,0.0,0.0,0.0,0.0,0.023255814,0.0,0.139534884,0.186046512,0.651162791,0.0,0.0,-3.8226,4.364,3.2816,1.0824,0.5276073619631901,0.8366666666666666,0.23376623400000007
Ag496-HO,HO,496,7.428999999999999,24.11,9.99,2.951,0.11900000000000001,0.15193663069918292,96.4,35.63,23616,201,0.48678861204055596,0.1435164161688996,0.8,0.0,0.0,0.0,0.0,0.029850746,0.23880597,0.358208955,0.0,0.37313432799999996,0.0,0.0,-3.7754,4.3262,3.2248,1.1014,0.40524193548387094,0.8325,0.19999999999999996
Ag499-DH,DH,499,6.1579999999999995,29.086,10.14,2.958,0.114,0.15517994137092248,96.01,35.15,24023,242,0.4896190942850084,0.25012186593844643,0.583657588,0.35019455299999996,0.0,0.0,0.0,0.0,0.049586777,0.02892562,0.396694215,0.43388429799999995,0.090909091,0.0,-3.9794,4.5237,3.4349,1.0888,0.4849699398797595,0.8450000000000001,0.06614785899999998
Ag49-DH,DH,49,10.11,17.717,7.88,2.8510000000000004,0.179,0.00941807521985904,91.92,33.33,1442,42,0.1960364869733241,0.2506126792791167,0.0,0.0,0.0,0.0,0.0,0.0,0.28571428600000004,0.23809523800000001,0.23809523800000001,0.23809523800000001,0.0,0.0,-3.6125,4.7698,2.4314,2.3384,0.8571428571428571,0.6566666666666666,1.0
